Nodes,1,2,3,4
1000,0.0020340831950306894,0.0029609166085720062,0.003954058419913054,0.004916941595729441
2000,0.004068166599608958,0.009413066797424107,0.008090641209855675,0.01371067479485646
3000,0.00593436659546569,0.008787833398673683,0.018125924991909414,0.017995116801466794
4000,0.011072391597554087,0.013489658199250697,0.01996728378580883,0.022854283393826336
5000,0.013078150199726224,0.024753658403642475,0.02314869159599766,0.0286210666061379
6000,0.01469645039178431,0.02509864979656413,0.031645408389158546,0.03398551660357043
7000,0.01688355818623677,0.02373078358359635,0.035898000188171866,0.047209416597615926
8000,0.019047250179573892,0.029162975016515703,0.03913928319234401,0.05404259141068905
