Nodes,1,2,3,4
1000,0.002003624988719821,0.002958291582763195,0.0039916582172736526,0.00492959157563746
2000,0.004096425184980035,0.009050391591154039,0.007835558359511196,0.013636966818012297
3000,0.005885308212600649,0.008820541575551033,0.015037283627316355,0.01842669998295605
4000,0.011324091791175305,0.011467750021256506,0.01907596702221781,0.02318991639185697
5000,0.01277521657757461,0.017606016574427487,0.02474507479928434,0.02867445002775639
6000,0.014476041565649212,0.020332466810941696,0.030608766386285423,0.034094842011108996
7000,0.01650094180367887,0.023404625174589456,0.03520364977885038,0.04282973320223391
8000,0.01824920838698745,0.029233900201506912,0.038440283364616336,0.05068170798476786
