Nodes,1,2,3,4
1000,0.001866583013907075,0.0028003749903291464,0.0038062500534579158,0.004730958957225084
2000,0.003905792022123933,0.005671875085681677,0.007775666890665889,0.009720040950924158
3000,0.005722709000110626,0.008659167098812759,0.01145483402069658,0.01497212506365031
4000,0.007578124990686774,0.011392834014259279,0.01550508406944573,0.01978033292107284
5000,0.009267874993383884,0.014287457917816937,0.019422332989051938,0.024609958054497838
6000,0.011146415956318378,0.017117624985985458,0.023215207969769835,0.02969391702208668
7000,0.012877708999440074,0.019759916933253407,0.02691508294083178,0.034667582949623466
8000,0.01460533298086375,0.022857625037431717,0.030733666964806616,0.03877116704825312
